"network","mutualism","rows","columns","richness","connectance","nestedness","modularity","PC1","PC2"
"AE_Bluthgen_etal_2004_bin","AE",48,41,89,0.144308943089431,44.8153129528309,0.303672,0.283863553375552,1.56291986649019
"AE_Rico-Gray_benito_bin","AE",38,10,48,0.25,39.1658750820903,0.36687,0.541523118079082,0.225659948715527
"AE_Rico-Gray_mancha_bin","AE",99,28,127,0.101370851370851,40.5937371514751,0.465825,-0.803897874207783,1.97718977067302
"AE_Rico-Gray_xalapa_bin","AE",12,5,17,0.216666666666667,2.63157894736842,0.745562,-1.84697899006848,-1.75987296948794
"AE_Rico-Gray_zapo_bin","AE",46,13,59,0.209030100334448,35.5539884145005,0.45536,-0.107589428121823,0.28200107027594
"AM_Davidson_etal_1989_bin","AM",8,16,24,0.1484375,4.27927927927928,0.778393,-2.23137891661522,-1.50408938300933
"AM_Fonseca&Ganade_1996_bin","AM",15,24,39,0.125,12.7952755905512,0.674074,-1.78469700645641,-0.762966355786019
"AM_Izzo_mtcCOLpen_bin","AM",5,6,11,0.233333333333333,8,0.693878,-1.4055040293811,-1.7223278661722
"AM_Izzo_mtcDIM100_bin","AM",7,9,16,0.174603174603175,7.01754385964912,0.77686,-1.99790208631157,-1.69324543143544
"AM_Izzo_mtcFLO_bin","AM",8,13,21,0.163461538461538,11.3207547169811,0.685121,-1.61421701223943,-1.2740908856205
"AM_Izzo_mtcPA10_bin","AM",7,8,15,0.160714285714286,0,0.790123,-2.29873144326113,-1.80446665072618
"AM_Izzo_mtcPAcamp_bin","AM",9,12,21,0.148148148148148,4.90196078431373,0.78125,-2.2086197673603,-1.56314000369011
"AM_Izzo_mtcPOW_bin","AM",8,10,18,0.15,4.10958904109589,0.777778,-2.19513239683784,-1.6304297471312
"CC_Johnson&Ruben_1988_bin","CC",32,4,36,0.4140625,46.2957693037374,0.360983,1.49514473704142,-0.32926106375132
"CC_Sazima_bin","CC",35,5,40,0.417142857142857,70.7321145337674,0.25896,2.55919121124126,0.326049610933593
"CC_Wicksten_1998_bin","CC",50,6,56,0.35,64.4693260368664,0.301769,1.86612964069788,0.631381321513019
"FA_Ricciardi_etal_2010_Bahowo_bin","FA",6,5,11,0.333333333333333,38,0.44,0.780619136435486,-0.938822099960231
"FA_Ricciardi_etal_2010_Bualo_bin","FA",4,5,9,0.4,34.375,0.4375,0.964858885632615,-1.19219789492426
"FA_Ricciardi_etal_2010_Fukui_bin","FA",3,4,7,0.5,22.2222222222222,0.333333,1.40531878106141,-1.38690590768529
"FA_Ricciardi_etal_2010_JalanMasuk_bin","FA",4,4,8,0.4375,37.5,0.367347,1.46527850121225,-1.08976225360918
"FA_Ricciardi_etal_2010_Kasegaran_bin","FA",5,3,8,0.466666666666667,38.4615384615385,0.408163,1.46301363356599,-1.25515706224749
"FA_Ricciardi_etal_2010_Likuan1_bin","FA",4,4,8,0.4375,62.5,0.387755,2.11216873475113,-0.809979223122769
"FA_Ricciardi_etal_2010_Mandolin_bin","FA",4,5,9,0.3,12.5,0.555556,-0.495890866658709,-1.52428949466398
"FA_Ricciardi_etal_2010_Mike_bin","FA",4,4,8,0.4375,29.1666666666667,0.387755,1.15125116594495,-1.25188048922056
"FA_Ricciardi_etal_2010_Sachiko_bin","FA",4,4,8,0.375,16.6666666666667,0.472222,0.233437348257788,-1.47093319734267
"FA_Ricciardi_etal_2010_TanjungKopi_bin","FA",5,5,10,0.32,22.5,0.484375,0.124996800050714,-1.2426510336646
"FA_Ricciardi_etal_2010_TanjungPisok_bin","FA",4,5,9,0.35,12.5,0.469388,0.0173246499215789,-1.43456414592829
"FP_Baird_1980_bin","FP",7,21,28,0.340136054421769,50.9802102659246,0.3248,1.50641041829501,-0.14804795787168
"FP_Beehler_1983_bin","FP",31,9,40,0.426523297491039,67.6600550702347,0.222371,2.64076771924486,0.353837659105127
"FP_Carlo_etal_2003_Caguana_bin","FP",25,16,41,0.17,44.6967992325135,0.397491,0.305692255541737,0.284906404158781
"FP_Carlo_etal_2003_Cialitos_bin","FP",34,20,54,0.139705882352941,43.3779299558261,0.399557,0.0673799910234212,0.603490372631576
"FP_Carlo_etal_2003_Cordillera_bin","FP",25,13,38,0.150769230769231,29.6932476694381,0.536027,-0.68902664706215,-0.276027585049825
"FP_Carlo_etal_2003_Fronton_bin","FP",21,15,36,0.161904761904762,34.1655328798186,0.468281,-0.259349139929709,-0.114430424185589
"FP_Crome_1975_bin","FP",72,7,79,0.283730158730159,51.6734575087311,0.334051,0.988273565201963,1.01641168180955
"FP_Donatti_etal_2011_bin","FP",45,46,91,0.131884057971014,27.7992905625803,0.414966,-0.670093241457974,1.12813979896622
"FP_Galetti&Pizo_1996_bin","FP",35,29,64,0.14384236453202,35.492496736253,0.381779,-0.133326148499816,0.736052425366247
"FP_Jordano_1985_bin","FP",16,17,33,0.444852941176471,78.755788482351,0.236186,3.02263559219125,0.277022376289676
"FP_Kantak_1979_bin","FP",5,27,32,0.637037037037037,67.3437980917205,0.182396,3.66857022096321,-0.251662423735052
"FP_Lambert_1989_bin","FP",24,61,85,0.341530054644809,58.8381063116065,0.204128,1.86509063499424,1.41346059581077
"FP_Mack&Wright_1996_bin","FP",29,32,61,0.0711206896551724,11.2060500475135,0.647383,-2.0708399158914,-0.132209613914918
"FP_Poulin_etal_1999_Mic_bin","FP",4,19,23,0.434210526315789,48.2925298179535,0.352617,1.73486723784961,-0.596876006675437
"FP_Poulin_etal_1999_Psc_bin","FP",13,11,24,0.370629370629371,73.8972431077694,0.254895,2.56454155398201,0.17330801981039
"FP_Schleuning_etal_2011_bin","FP",33,88,121,0.144283746556474,34.5848573716498,0.308577,-0.202833600272836,2.06367689353665
"FP_Sorensen_1981_bin","FP",7,6,13,0.523809523809524,66.6666666666667,0.258264,3.02139762820862,-0.547210509567401
"PP_Arroyo_etal_1982_1_bin","PP",84,101,185,0.0425506836397926,14.4634525632651,0.520238,-2.30638706527705,2.81987126900435
"PP_Arroyo_etal_1982_2_bin","PP",43,64,107,0.0712209302325581,15.3606300060565,0.530977,-1.77976875422398,1.1497281768094
"PP_Arroyo_etal_1982_3_bin","PP",36,25,61,0.09,19.1882147124083,0.592288,-1.56537396441017,0.0645757589276869
"PP_Barrett&Helenurm_1987_bin","PP",12,102,114,0.136437908496732,30.7846718109547,0.486464,-0.949234140057466,1.44137709096173
"PP_Bezerra_etal_2009_bin","PP",13,13,26,0.420118343195266,84.9310643060643,0.230113,3.16092329902153,0.295827635107835
"PP_Dicks_etal_2002_HI_bin","PP",17,61,78,0.140790742526519,52.2694537292706,0.399465,0.197953148376544,1.20536174664794
"PP_Dicks_etal_2002_SH_bin","PP",16,36,52,0.147569444444444,35.658354978355,0.432249,-0.230794311988737,0.357696376995707
"PP_Dupont_etal_2003_bin","PP",11,38,49,0.253588516746411,35.9711751895129,0.357601,0.491980502114442,0.217826014744721
"PP_Elberling&Olesen_1999_bin","PP",24,118,142,0.0854519774011299,15.3927062397601,0.503313,-1.8116685058518,1.89318245183483
"PP_Hocking_1968_bin","PP",29,81,110,0.0762026394210302,25.6823343404528,0.477825,-1.28623360536979,1.46909869003173
"PP_Inouye&Pike_1988_bin","PP",40,85,125,0.0776470588235294,19.3095981772479,0.428217,-1.36626467719032,1.81053442891437
"PP_Kaiser-Bunbury_etal_2009_bin","PP",58,100,158,0.0920689655172414,34.3531061006306,0.300888,-0.593379707110256,2.96416495434029
"PP_Medan_etal_2002_LD_bin","PP",21,45,66,0.0878306878306878,18.0208333333333,0.621571,-1.74084341944446,0.0819300371368816
"PP_Medan_etal_2002_RB_bin","PP",23,72,95,0.0754830917874396,22.8815233656814,0.576192,-1.64404901665434,0.88080272349723
"PP_Mosquin&Martin_1967_bin","PP",11,18,29,0.191919191919192,32.0673076923077,0.478532,-0.197824621840647,-0.387128685316137
"PP_Olesen_etal_2002_Aigrettes_bin","PP",14,13,27,0.285714285714286,51.8737672583826,0.340237,1.26233148792984,-0.0558653116000111
"PP_Olesen_etal_2002_Flores_bin","PP",10,12,22,0.25,35.960960960961,0.444444,0.309941857163625,-0.540223750970004
"PP_Ollerton_etal_2003_bin","PP",9,56,65,0.204365079365079,35.4888924527249,0.433406,-0.0815025242636197,0.470302851212629
"PP_Primack_1983_bin","PP",18,60,78,0.111111111111111,13.9433691344768,0.560417,-1.60859688045368,0.366151248718332
"PP_Ramirez&Brito_1992_bin","PP",28,53,81,0.0734501347708895,11.1605109013993,0.584463,-1.94394493072999,0.42588500791876
"PP_Santos_etal_2010_bin","PP",51,25,76,0.149019607843137,46.3606536631747,0.3241,0.344200022408383,1.25607646766907
"PP_Schemske_etal_1978_bin","PP",7,33,40,0.281385281385281,56.6597670696031,0.35716,1.25098492203711,0.23941580417788
"PP_Small_1976_bin","PP",13,34,47,0.319004524886878,40.9612629154883,0.258287,1.26962057543449,0.32686065540134
"PP_Vazquez_etal_2002_ArroyoGoye_bin","PP",10,29,39,0.148275862068966,29.5362158167036,0.53867,-0.718600838731963,-0.258125499356159
"PP_Vazquez_etal_2002_CerroLopez_bin","PP",9,33,42,0.151515151515152,18.6578551472168,0.618765,-1.32507553147677,-0.552517775903295
"PP_Vazquez_etal_2002_LlaoLlao_bin","PP",10,29,39,0.144827586206897,26.3118994826312,0.575964,-0.960314683601525,-0.386393733738741
"PP_Vazquez_etal_2002_Mascardi(c)_bin","PP",8,26,34,0.173076923076923,23.2766761095373,0.537809,-0.768748035485689,-0.503945569511619
"PP_Vazquez_etal_2002_Quetrihue(c)_bin","PP",8,27,35,0.217592592592593,30.3050291836572,0.496605,-0.243068804455085,-0.400479199563585
